location,zone,GHI_annual
Mustang,High Mountain,1999.851052631579
Dolpa,High Mountain,1818.498947368421
Banke,Mid-West Terai,1813.3984210526316
Bardiya,Mid-West Terai,1798.3952631578948
Bara,Madhesh Terai,1797.2857894736842
Rautahat,Madhesh Terai,1788.2931578947369
Dang,Inner Terai,1788.1605263157894
Parsa,Madhesh Terai,1772.4863157894736
Mahottari,Madhesh Terai,1770.1257894736843
Kapilvastu,Western Terai,1761.157894736842
Humla,High Mountain,1748.463157894737
Dhanusha,Madhesh Terai,1742.5726315789473
Siraha,Eastern Terai,1740.3747368421052
Kanchanpur,Far-West Terai,1737.4042105263159
Kailali,Far-West Terai,1737.0794736842106
Rupandehi,Western Terai,1735.5478947368422
Sarlahi,Madhesh Terai,1734.5105263157895
Nawalparasi,Western Terai,1708.2026315789474
Nawalpur,Inner Terai,1672.9315789473683
Dadeldhura,Far-West Hills,1670.703157894737
Palpa,Western Hills,1653.287894736842
Arghakhanchi,Western Hills,1648.9736842105262
Tanahun,Western Hills,1613.5242105263158
Ramechhap,Eastern Hills,1613.171052631579
Sankhuwasabha,Eastern Mountain,1606.008947368421
Jhapa,Eastern Terai,1600.3573684210526
Baglung,Western Hills,1598.6942105263158
Rolpa,Mid-West Hills,1593.998947368421
Sunsari,Eastern Terai,1580.1368421052632
Gorkha,Central Hills,1573.0236842105264
Gulmi,Western Hills,1540.4789473684211
Sindhupalchok,Central Hills,1518.9005263157894
Parbat,Western Hills,1512.0952631578948
