location,zone,ghi_mean,ghi_std,cov_pct,pct_change
Baglung,Western Hills,1598.6942105263158,63.50072522033722,3.9720369788185925,-3.4
Parbat,Western Hills,1512.0952631578948,59.2410021642687,3.917808858189822,-3.62
Gulmi,Western Hills,1540.478947368421,59.52663651161528,3.864164233682246,-2.34
Palpa,Western Hills,1653.2878947368422,63.15466188290351,3.8199434039257874,-1.34
Tanahun,Western Hills,1613.5242105263158,59.88705270161953,3.7115682746455327,-1.35
Nawalpur,Inner Terai,1672.9315789473685,60.37637711916056,3.6090165239842147,-0.9
Gorkha,Central Hills,1573.0236842105264,56.06783750368103,3.5643352396070576,-1.73
Nawalparasi,Western Terai,1708.2026315789474,60.70053924729408,3.5534741678267174,-0.85
Arghakhanchi,Western Hills,1648.9736842105262,58.481479614444936,3.5465380784681186,-1.16
Rupandehi,Western Terai,1735.5478947368422,60.17907716686066,3.4674397260575454,-0.77
Kapilvastu,Western Terai,1761.157894736842,58.87583220255889,3.343018384581373,-0.78
Sindhupalchok,Central Hills,1518.9005263157894,49.989397928592396,3.2911567981245975,-3.42
Rolpa,Mid-West Hills,1593.998947368421,51.90713212552848,3.2564094356036724,-2.53
Dang,Inner Terai,1788.1605263157896,57.81874633270237,3.2334203491130844,-2.3
Ramechhap,Eastern Hills,1613.171052631579,50.638196046368115,3.1390469078751204,-1.32
Parsa,Madhesh Terai,1772.4863157894736,52.411099991692396,2.956925507678645,-0.47
Sunsari,Eastern Terai,1580.136842105263,45.39387563349519,2.87278129487922,0.62
Sankhuwasabha,Eastern Mountain,1606.008947368421,45.97296341869937,2.8625596074062907,-1.97
Banke,Mid-West Terai,1813.3984210526316,51.74885047173698,2.8536944706115985,-1.99
Sarlahi,Madhesh Terai,1734.5105263157893,49.4674188480193,2.8519526458620716,0.15
Bardiya,Mid-West Terai,1798.3952631578948,50.466248827907066,2.80618225935998,-2.09
Siraha,Eastern Terai,1740.3747368421054,48.599475004985784,2.7924718726479045,0.81
Dhanusha,Madhesh Terai,1742.5726315789473,48.494715616137555,2.782937981310795,0.48
Bara,Madhesh Terai,1797.2857894736842,49.85234423506073,2.7737572136293056,-0.12
Mahottari,Madhesh Terai,1770.125789473684,48.633522425470886,2.7474613789978855,0.44
Rautahat,Madhesh Terai,1788.2931578947369,48.865711456402,2.7325336028198546,0.25
Dadeldhura,Far-West Hills,1670.703157894737,44.060171615723675,2.6372232199072494,-2.2
Jhapa,Eastern Terai,1600.3573684210526,40.395027037455094,2.524125413145047,2.47
Kanchanpur,Far-West Terai,1737.4042105263159,42.66528660734095,2.45569144755418,-2.17
Kailali,Far-West Terai,1737.0794736842106,42.10830288588965,2.424086147111117,-2.46
Mustang,High Mountain,1999.8510526315788,48.00527979003246,2.400442759317646,-3.27
Dolpa,High Mountain,1818.4989473684209,41.94419359825845,2.3065283408030877,-3.83
Humla,High Mountain,1748.463157894737,33.95319475274948,1.9418879145060928,-1.52
